FishTaxa	Latitude83	Longitude83	SITEYR
AMERICAN EEL	39.10870636	-76.67081005	AA-N-135-301-97
BLUEGILL	39.10870636	-76.67081005	AA-N-135-301-97
BROWN BULLHEAD	39.10870636	-76.67081005	AA-N-135-301-97
BLACKNOSE DACE	39.10870636	-76.67081005	AA-N-135-301-97
COMMON SHINER	39.11776064	-76.78257259	AA-N-152-304-97
CREEK CHUB	39.11776064	-76.78257259	AA-N-152-304-97
EASTERN MUDMINNOW	39.11776064	-76.78257259	AA-N-152-304-97
FALLFISH	39.11776064	-76.78257259	AA-N-152-304-97
REDFIN PICKEREL	39.11776064	-76.78257259	AA-N-152-304-97
LONGNOSE DACE	39.11776064	-76.78257259	AA-N-152-304-97
LEAST BROOK LAMPREY	39.11776064	-76.78257259	AA-N-152-304-97
PUMPKINSEED	39.11776064	-76.78257259	AA-N-152-304-97
REDBREAST SUNFISH	39.11776064	-76.78257259	AA-N-152-304-97
SMALLMOUTH BASS	39.11776064	-76.78257259	AA-N-152-304-97
SEA LAMPREY	39.11776064	-76.78257259	AA-N-152-304-97
WHITE SUCKER	39.11776064	-76.78257259	AA-N-152-304-97
YELLOW PERCH	39.11776064	-76.78257259	AA-N-152-304-97
TESSELLATED DARTER	39.11776064	-76.78257259	AA-N-152-304-97
SWALLOWTAIL SHINER	39.11776064	-76.78257259	AA-N-152-304-97
SATINFIN SHINER	39.11776064	-76.78257259	AA-N-152-304-97
AMERICAN EEL	39.11776064	-76.78257259	AA-N-152-304-97
BLUEGILL	39.11776064	-76.78257259	AA-N-152-304-97
BLACKNOSE DACE	39.11776064	-76.78257259	AA-N-152-304-97
AMERICAN BROOK LAMPREY	39.11776064	-76.78257259	AA-N-152-304-97
EASTERN MUDMINNOW	39.11522069	-76.78370429	AA-N-152-318-97
COMMON SHINER	39.11522069	-76.78370429	AA-N-152-318-97
FALLFISH	39.11522069	-76.78370429	AA-N-152-318-97
REDFIN PICKEREL	39.11522069	-76.78370429	AA-N-152-318-97
REDBREAST SUNFISH	39.11522069	-76.78370429	AA-N-152-318-97
LONGNOSE DACE	39.11522069	-76.78370429	AA-N-152-318-97
PUMPKINSEED	39.11522069	-76.78370429	AA-N-152-318-97
WHITE SUCKER	39.11522069	-76.78370429	AA-N-152-318-97
YELLOW PERCH	39.11522069	-76.78370429	AA-N-152-318-97
TESSELLATED DARTER	39.11522069	-76.78370429	AA-N-152-318-97
SMALLMOUTH BASS	39.11522069	-76.78370429	AA-N-152-318-97
SWALLOWTAIL SHINER	39.11522069	-76.78370429	AA-N-152-318-97
SEA LAMPREY	39.11522069	-76.78370429	AA-N-152-318-97
SATINFIN SHINER	39.11522069	-76.78370429	AA-N-152-318-97
BLUEGILL	39.11522069	-76.78370429	AA-N-152-318-97
AMERICAN EEL	39.11522069	-76.78370429	AA-N-152-318-97
GOLDFISH	39.11366906	-76.55616258	AA-N-160-215-97
GOLDEN SHINER	39.11366906	-76.55616258	AA-N-160-215-97
REDFIN PICKEREL	39.11366906	-76.55616258	AA-N-160-215-97
PUMPKINSEED	39.11366906	-76.55616258	AA-N-160-215-97
LARGEMOUTH BASS	39.11366906	-76.55616258	AA-N-160-215-97
TESSELLATED DARTER	39.11366906	-76.55616258	AA-N-160-215-97
YELLOW PERCH	39.11366906	-76.55616258	AA-N-160-215-97
SPOTTAIL SHINER	39.11366906	-76.55616258	AA-N-160-215-97
BLACK CRAPPIE	39.11366906	-76.55616258	AA-N-160-215-97
BROWN BULLHEAD	39.11366906	-76.55616258	AA-N-160-215-97
BLUEGILL	39.11366906	-76.55616258	AA-N-160-215-97
AMERICAN EEL	39.11366906	-76.55616258	AA-N-160-215-97
CHAIN PICKEREL	39.10765993	-76.7025882	AA-N-162-216-97
GREEN SUNFISH	39.10765993	-76.7025882	AA-N-162-216-97
EASTERN MUDMINNOW	39.10765993	-76.7025882	AA-N-162-216-97
GOLDEN SHINER	39.10765993	-76.7025882	AA-N-162-216-97
PUMPKINSEED	39.10765993	-76.7025882	AA-N-162-216-97
WHITE SUCKER	39.10765993	-76.7025882	AA-N-162-216-97
TESSELLATED DARTER	39.10765993	-76.7025882	AA-N-162-216-97
BLACKNOSE DACE	39.10765993	-76.7025882	AA-N-162-216-97
AMERICAN EEL	39.10765993	-76.7025882	AA-N-162-216-97
BROWN BULLHEAD	39.10765993	-76.7025882	AA-N-162-216-97
BLUEGILL	39.10765993	-76.7025882	AA-N-162-216-97
CHAIN PICKEREL	39.011667	-76.7375	AA-N-167-031-95
CREEK CHUB	39.011667	-76.7375	AA-N-167-031-95
